Tweet,True,Predicted,Negative,Positive
Instance59,negative,positive,0.293964014199254,0.7060359858007459
Instance60,positive,negative,0.8116694021633583,0.18833059783664177
Instance61,negative,positive,0.4685484932241387,0.5314515067758614
Instance62,positive,positive,0.47602504145090163,0.5239749585490984
Instance63,negative,positive,0.1611762808586861,0.8388237191413139
Instance64,positive,positive,0.4729427189327648,0.5270572810672349
Instance65,positive,negative,0.6529326056906979,0.347067394309302
Instance66,negative,positive,0.4728482770164267,0.5271517229835733
Instance67,negative,positive,0.03738788982419238,0.9626121101758077
Instance68,positive,positive,0.4735016253528172,0.526498374647183
Instance69,positive,negative,0.607449526285188,0.3925504737148119
Instance70,positive,positive,0.42937460318269627,0.5706253968173037
Instance71,positive,positive,0.28447499179528846,0.7155250082047114
Instance72,negative,positive,0.2933014470151016,0.7066985529848984
Instance73,negative,positive,0.4743124722965103,0.5256875277034897
Instance74,positive,negative,0.6574548341374364,0.34254516586256356
Instance75,negative,positive,0.2924928696164975,0.7075071303835025
Instance76,negative,positive,0.29342949605881086,0.706570503941189
Instance77,positive,positive,0.4725327037681054,0.5274672962318947
Instance78,positive,positive,0.037235589244393456,0.9627644107556066
Instance79,positive,positive,0.46242673510533044,0.5375732648946696
Instance80,positive,negative,0.857444109160476,0.14255589083952405
Instance81,positive,positive,0.4676751412893611,0.5323248587106387
Instance82,positive,negative,0.6458184037030053,0.3541815962969948
Instance83,positive,negative,0.8280551251021324,0.17194487489786783
Instance84,positive,positive,0.47370182575176195,0.5262981742482379
Instance85,positive,positive,0.29173547253653304,0.708264527463467
Instance86,positive,negative,0.8073886762388576,0.19261132376114248
Instance87,positive,positive,0.3011295479170863,0.6988704520829138
Instance88,positive,positive,0.2923383638055569,0.7076616361944431
Instance89,positive,positive,0.47309825593555427,0.5269017440644457
Instance90,positive,positive,0.1608566634664707,0.8391433365335295
Instance91,negative,positive,0.15033793908647705,0.8496620609135231
Instance92,positive,positive,0.29325042566042275,0.7067495743395774
Instance93,positive,positive,0.14486900841344177,0.8551309915865581
Instance94,negative,positive,0.2862447959720822,0.713755204027918
Instance95,positive,positive,0.29399120000877216,0.7060087999912278
Instance96,positive,positive,0.47405496449914186,0.525945035500858
Instance97,negative,positive,0.293964014199254,0.7060359858007459
Instance98,positive,negative,0.8116694021633583,0.18833059783664177
Instance99,negative,positive,0.4685484932241387,0.5314515067758614
Instance100,positive,positive,0.47602504145090163,0.5239749585490984
Instance101,negative,positive,0.1611762808586861,0.8388237191413139
Instance102,positive,positive,0.4729427189327648,0.5270572810672349
Instance103,positive,negative,0.6529326056906979,0.347067394309302
Instance104,negative,positive,0.4728482770164267,0.5271517229835733
Instance105,negative,positive,0.03738788982419238,0.9626121101758077
Instance106,positive,positive,0.4735016253528172,0.526498374647183
Instance107,positive,negative,0.607449526285188,0.3925504737148119
Instance108,negative,positive,0.2884810115500133,0.7115189884499865
Instance109,negative,positive,0.042604344136393024,0.9573956558636069
Instance110,negative,positive,0.2933428545452665,0.7066571454547336
Instance111,positive,positive,0.4891789754813794,0.5108210245186205
Instance112,negative,positive,0.2940521635975981,0.7059478364024018
Instance113,negative,positive,0.2870210078885241,0.7129789921114761
Instance114,negative,positive,0.28521495865732366,0.7147850413426765
Instance115,negative,positive,0.2967864131402576,0.7032135868597423
