Tweet,True,Predicted,Negative,Positive
Instance73,negative,positive,3.9139783145745596E-8,0.9999999608602168
Instance74,positive,positive,8.990617363619679E-4,0.999100938263638
Instance75,negative,positive,0.03705202487073132,0.9629479751292687
Instance76,negative,positive,3.5160989640063894E-8,0.9999999648390104
Instance77,positive,positive,1.4780158113778842E-4,0.9998521984188623
Instance78,positive,positive,7.564298103992564E-6,0.999992435701896
Instance79,positive,positive,4.0873061208798835E-10,0.9999999995912694
Instance80,positive,positive,9.310467491915348E-14,0.999999999999907
Instance81,positive,positive,1.619016853252276E-4,0.9998380983146749
Instance82,positive,positive,8.294484409257074E-8,0.9999999170551559
Instance83,positive,positive,0.0030921667034397734,0.9969078332965602
Instance84,positive,positive,1.0660736615700844E-6,0.9999989339263385
Instance85,positive,positive,5.462977033831619E-10,0.9999999994537023
Instance86,positive,positive,4.6673464868952796E-8,0.9999999533265351
Instance87,positive,positive,1.9652033881048994E-4,0.9998034796611894
Instance88,positive,positive,2.0574623154817464E-5,0.9999794253768453
Instance89,positive,positive,1.0423206946387676E-7,0.9999998957679306
Instance90,positive,positive,0.062064007128134355,0.9379359928718657
Instance91,negative,positive,2.038406032200463E-11,0.9999999999796159
Instance92,positive,positive,0.008718420738469368,0.9912815792615307
Instance93,positive,positive,7.199411431710014E-4,0.9992800588568289
Instance94,negative,positive,5.416507365708562E-8,0.9999999458349262
Instance95,positive,positive,0.0010623538481195224,0.9989376461518804
Instance96,positive,positive,0.002063571437923363,0.9979364285620766
Instance97,negative,positive,7.087255380110244E-10,0.9999999992912745
Instance98,positive,positive,1.2000401490202505E-4,0.9998799959850979
Instance99,negative,positive,7.347622015653186E-10,0.9999999992652377
Instance100,positive,positive,7.304282254084946E-12,0.9999999999926956
Instance101,negative,positive,0.1769620765626962,0.8230379234373038
Instance102,positive,positive,1.9696149906151875E-13,0.999999999999803
Instance103,positive,positive,0.004631090004004167,0.9953689099959958
Instance104,negative,negative,0.9999999974577805,2.5422194578281513E-9
Instance105,negative,negative,0.9998970083497445,1.0299165025559689E-4
Instance106,positive,positive,5.49781987470101E-4,0.9994502180125299
Instance107,positive,positive,0.004118643760220163,0.9958813562397799
Instance108,negative,negative,0.9999741866940083,2.5813305991810498E-5
Instance109,negative,negative,1.0,2.7093138377418285E-17
Instance110,negative,negative,0.9999936064320281,6.393567972003906E-6
Instance111,positive,positive,3.534218582365335E-7,0.9999996465781417
Instance112,negative,positive,1.3395194608053309E-6,0.9999986604805393
Instance113,negative,negative,0.8321408593262822,0.1678591406737178
Instance114,negative,negative,0.9999848567917512,1.5143208248874056E-5
Instance115,negative,positive,0.022617363443345157,0.9773826365566549
