Tweet,True,Predicted,Negative,Positive
Instance60,positive,positive,0.20424765571632614,0.7957523442836738
Instance61,negative,positive,1.0064593075386322E-4,0.9998993540692462
Instance62,positive,positive,2.4692570306416177E-11,0.9999999999753075
Instance63,negative,positive,0.3903286664031571,0.6096713335968429
Instance64,positive,positive,2.2363657167965603E-5,0.9999776363428321
Instance65,positive,positive,0.20424765571632614,0.7957523442836738
Instance66,negative,positive,0.11496561479272965,0.8850343852072703
Instance67,negative,positive,0.20424765571632614,0.7957523442836738
Instance68,positive,positive,0.20424765571632614,0.7957523442836738
Instance69,positive,positive,0.03518806002533016,0.96481193997467
Instance70,positive,positive,0.005601931588802423,0.9943980684111976
Instance71,positive,positive,1.0507369495373951E-4,0.9998949263050463
Instance72,negative,negative,0.502991017428517,0.497008982571483
Instance73,negative,positive,0.010589596432023628,0.9894104035679763
Instance74,positive,positive,0.007002799225805313,0.9929972007741947
Instance75,negative,positive,0.003078123381319662,0.9969218766186803
Instance76,negative,positive,3.326450982969021E-7,0.9999996673549018
Instance77,positive,positive,0.20424765571632614,0.7957523442836738
Instance78,positive,positive,0.20424765571632614,0.7957523442836738
Instance79,positive,positive,0.130093084542844,0.869906915457156
Instance80,positive,positive,8.001080995988683E-5,0.9999199891900402
Instance81,positive,positive,0.11496561479272965,0.8850343852072703
Instance82,positive,positive,0.0015376771838842799,0.9984623228161158
Instance83,positive,positive,0.028337195577238454,0.9716628044227617
Instance84,positive,positive,0.004395554980797839,0.9956044450192021
Instance85,positive,positive,2.8342384883069315E-5,0.9999716576151169
Instance86,positive,positive,4.675097126666674E-6,0.9999953249028734
Instance87,positive,positive,0.20424765571632614,0.7957523442836738
Instance88,positive,positive,1.1191544780592723E-4,0.999888084552194
Instance89,positive,positive,0.20424765571632614,0.7957523442836738
Instance90,positive,positive,0.20424765571632614,0.7957523442836738
Instance91,negative,positive,7.400998116242894E-9,0.9999999925990017
Instance92,positive,positive,0.20424765571632614,0.7957523442836738
Instance93,positive,positive,0.20424765571632614,0.7957523442836738
Instance94,negative,positive,0.0017401390022804412,0.9982598609977196
Instance95,positive,positive,0.011934241218980372,0.9880657587810197
Instance96,positive,positive,0.20424765571632614,0.7957523442836738
Instance97,negative,positive,3.866543964703519E-4,0.9996133456035297
Instance98,positive,positive,0.20424765571632614,0.7957523442836738
Instance99,negative,positive,1.0064593075386322E-4,0.9998993540692462
Instance100,positive,positive,2.4692570306416177E-11,0.9999999999753075
Instance101,negative,positive,0.3903286664031571,0.6096713335968429
Instance102,positive,positive,2.2363657167965603E-5,0.9999776363428321
Instance103,positive,positive,0.20424765571632614,0.7957523442836738
Instance104,negative,positive,0.11496561479272965,0.8850343852072703
Instance105,negative,positive,0.20424765571632614,0.7957523442836738
Instance106,positive,positive,0.20424765571632614,0.7957523442836738
Instance107,positive,positive,0.03518806002533016,0.96481193997467
Instance108,negative,positive,0.20424765571632614,0.7957523442836738
Instance109,negative,positive,0.20424765571632614,0.7957523442836738
Instance110,negative,positive,0.20424765571632614,0.7957523442836738
Instance111,positive,positive,0.11496561479272965,0.8850343852072703
Instance112,negative,positive,5.9707854306684994E-5,0.9999402921456932
Instance113,negative,positive,0.20424765571632614,0.7957523442836738
Instance114,negative,positive,0.025905162549310704,0.9740948374506893
Instance115,negative,positive,0.20424765571632614,0.7957523442836738
