Tweet,Scores,True,Predicted
"He wasn't a victim of terrorism.  He was a victim of Israel's grotesque vanity and perverse desire for a purist ""Je… https://t.co/9MGWosvN8I","[w = 0.5357497698602388, s = 0.0329997954254555, t = 0.717061885482839]",positive,positive
"RT @OKnox: CENTCOM talks about shift in anti-ISIS coalition mission refers to ""our enduring presence as invited guests in Iraq.""","[w = 0.38107753088292734, s = 0.021016795633179153, t = 0.5043609022557238]",positive,positive
The #UK helps protect women &amp; girls in #Iraq affected by #Daesh. We provide vital access to protection services as… https://t.co/xCJPnmsDqb,"[w = 0.4573156693341615, s = 0.14002391185498622, t = 0.29499749373438494]",positive,positive
@Imperator_Rex3 @MarkWatson1967 Hey Mark...let us know how the ISIS fighters returning home turns out...if Trudeau… https://t.co/cWIyKZ1mig,"[w = 0.5176476916454824, s = 0.018640928127675926, t = 0.29236424394313837]",positive,positive
RT @F_Reinares: #IslamicState terrorists in #Libya getting plenty of #tramadol pills on the black market thanks to #Italian #Ndrangheta mob…,"[w = 0.46900030073406473, s = 0.5012624414193216, t = 0.34889856219496707]",positive,positive
"“Firstly I wish that #Syria will be stable again and that I can return to it. We had a very beautiful country that… https://t.co/jVFOaaNJYo","[w = 0.5261714596987097, s = 0.609722968439384, t = 0.4081357239251308]",positive,negative
RT @CJTFOIR: Over 96% of territory once controlled by ISIS is now liberated in Iraq &amp; Syria https://t.co/XWJc2xkTpr,"[w = 0.5797728245399457, s = 7.10558401098238E-4, t = 0.8973587815691828]",positive,positive
"#Iranian backed #Shia militia used #US weapons &amp; killed 35 #kurdish #Peshmerga fighters near #Kerkuk #KirkukCrisis… https://t.co/Ywu3jOlYqb","[w = 0.49263003106673486, s = 4.579000652427112E-6, t = 0.9232291254451954]",positive,positive
UK is supporting families like Abou affected by #Daesh through our partner @UNICEFIraq  #DefeatingDaesh #ISIS #ISIL https://t.co/SzkFg2xuvk,"[w = 0.5531067009805729, s = 0.14474891079718336, t = 0.6720625092141581]",positive,positive
Christian Jihad? Why We Should Worry About Right-Wing Terror Attacks Like Norway's in the US | Alternet https://t.co/aqrOPCXuhf,"[w = 0.5716644805913497, s = 0.03307916645191028, t = 0.5931829573934082]",positive,positive
ISIS drones are attacking U.S. troops and disrupting airstrikes in Raqqa officials say #ToHellWithISIS #StopTerror  https://t.co/4vCu75v2kr,"[w = 0.4483559081056282, s = 2.6722302669479614E-5, t = 0.9096161456272321]",positive,positive
More Islamic State jihadis now in UK than Britons in Syria fighting the Islamic State https://t.co/HckDoi1lHT,"[w = 0.6880610509639179, s = 0.03299665708145466, t = 0.8421347486362264]",positive,positive
Somalia: Suicide attack near Foreign Ministry in Mogadishu http://t.co/RCHixB27,"[w = 0.5365426122907844, s = 0.14050112698752226, t = 0.5033037138299451]",positive,positive
"#BREAKING VIDEO SHOWS :#Turkish shelling kills six members of #Kurdish force in #Afrin #Syria many injured  #ypg https://t.co/lNWyMIR4yI","[w = 0.5437836713898508, s = 1.204256194764497E-9, t = 0.6159529257928257]",negative,positive
RT @GissiSim: When is the US going to speak out against Turkey threatening its soldiers?,"[w = 0.549629026479366, s = 0.03665919963655906, t = 0.7199665831243639]",positive,positive
Remember being a Non-Muslim in an Islamic state is a crime punishable with life. ,"[w = 0.6376195072674873, s = 0.0333141673180985, t = 0.6646282372597323]",positive,positive
Our data shows that there have been 45 terrorist attacks in #Israel &amp; #Palestine in October compared with 25 between January and September.,"[w = 0.5347370661780777, s = 2.8114565346532006E-4, t = 0.41792576679798604]",negative,positive
Sultan Al Qassemi: Taking a 'Warrior’s Break' #Iraq #art #DiaAzzawi https://t.co/eUrVjjDFEP,"[w = 0.2665658610168995, s = 0.002375127606422167, t = 0.16910457963085823]",positive,neutral
Thomas Jefferson’s Quran: How Islam Shaped the Founders https://t.co/UiiETfynys via @thedailybeast,"[w = 0.48518879993773245, s = 0.03386378621512315, t = 0.3747445536918564]",positive,positive
@RT_com jihadists used chemical weapon killed many #Kurds In #syria  full vid video  https://t.co/Wj2xZv3UIw  #ISIS https://t.co/iVCMupbbqx,"[w = 0.5947973312112504, s = 6.246508122109695E-5, t = 0.7967550455085236]",negative,positive
Trump asked why 'pretty Korean lady' who briefed him on hostages wasn't negotiating with North Korea: Report… https://t.co/zLRumH4zVL,"[w = 0.31684002399996025, s = 0.8766708826201202, t = 0.20679960771495995]",positive,negative
"#Erdogan backed al-#nusra fighter (Jabhat Fatah al-Sham ) in #Syria convincing his two 7 &amp; 8 yo daughters to take p… https://t.co/GtZx724Kiu","[w = 0.38231205079803376, s = 1.625985807912622E-5, t = 0.5625062656640888]",negative,positive
Turkey wants to stop #Kurds liberating northern #Syria from #ISIS #DAESH #ISIL #ISLAMICSTATE #YPG #YPJ #PKK #KURDISH https://t.co/UJVVY23yH8,"[w = 0.6715313207268527, s = 7.05813185675197E-12, t = 0.9503977334641766]",positive,positive
"#OpISIS : Sex Slavery ISIS &amp; Illegal Arms Trade: Libya Plunged Into Failed State After US invasion. #OpIceISIS... https://t.co/Q3PCKCyDsU","[w = 0.4962513503655671, s = 0.38526753730111346, t = 0.42865860302937203]",negative,positive
"#UKaid has provided life-saving aid to 100000s of people in #Iraq affected by #Daesh – inc. food water &amp; shelter https://t.co/xUfHsbxKt9","[w = 0.49005527896594125, s = 3.6128931901191486E-6, t = 0.272790672333041]",positive,positive
BLF is dangerous. They behave like they can wake up and become terrorists. I don't trust them,"[w = 0.36801992742271317, s = 0.5012624414193216, t = 0.2894053315105309]",positive,positive
"#ISIS tells jihadis to turn holiday hotspots into bloodbaths by murdering Christian tourists","[w = 0.5219165559396606, s = 0.8570209410790932, t = 0.3150244031130488]",negative,negative
RT @TheGoldWaterUS: Breaking - Islamic Extremists Attack French Embassy In Burkina Faso - 7 Dead (Video),"[w = 0.5179010351940406, s = 0.8305070954755432, t = 0.5153766769865432]",negative,negative
RT @JulianeMeyerK: Iraqi army says foreign IS members extradited to Justice Ministry to stand trials,"[w = 0.45661627277521094, s = 0.033227541086358836, t = 0.3101701622477277]",positive,positive
When will the world realize they do not Strive for peace #Muslim #ISIS,"[w = 0.7010228592685729, s = 0.7509456372528558, t = 0.8460767302871389]",positive,negative
